ID,Group,Eviction,AdultFemalesNum,GroupSize,Birth,Age,Rainfall,RelatednessHalf,RelatednessQuarter
14,1,0,2,6,2,30,"998,47",0,0
20,1,0,2,6,2,42,"998,47",0,0
14,1,0,2,8,2,42,"352,05",0,0
20,1,0,2,8,2,54,"352,05",0,0
55,1,0,2,7,2,6,"696,96",1,0
57,1,0,2,7,2,6,"696,96",1,0
14,1,0,2,7,2,54,"696,96",1,0
20,1,0,2,7,2,66,"696,96",1,0
55,1,0,2,10,2,18,"553,21",1,0
14,1,0,2,10,2,66,"553,21",2,0
20,1,0,2,10,2,78,"553,21",1,0
57,1,1,2,12,2,24,"553,21",1,1
37,1,0,3,12,2,6,"438,91",1,1
55,1,0,3,12,2,30,"438,91",1,1
14,1,0,3,12,2,78,"438,91",2,0
20,1,0,3,12,2,90,"438,91",2,0
55,1,0,4,10,0,42,"662,68",1,0
14,1,0,4,10,0,90,"662,68",1,0
55,1,0,2,7,2,54,"279,42",0,0
14,1,0,2,7,2,102,"279,42",0,0
55,1,0,2,7,2,66,"723,15",1,0
14,1,0,2,7,2,114,"723,15",0,0
33,1,0,2,9,2,6,"458,48",1,0
52,1,0,2,9,2,6,"458,48",1,0
55,1,0,2,9,2,78,"458,48",1,0
14,1,0,2,9,2,126,"458,48",1,0
52,1,0,2,8,0,18,"980,7",1,1
55,1,0,2,8,0,90,"980,7",2,0
14,1,0,2,8,0,138,"980,7",2,0
31,1,1,2,8,0,13,"980,7",1,1
33,1,1,2,8,0,25,"980,7",1,1
52,1,0,3,6,2,30,"366,32",1,0
55,1,0,3,6,2,102,"366,32",0,0
14,1,0,3,6,2,150,"366,32",1,0
47,1,0,3,9,2,7,"1291,85",1,1
52,1,0,3,9,2,42,"1291,85",1,1
14,1,0,3,9,2,162,"1291,85",2,0
55,1,1,3,9,2,114,"1291,85",2,0
52,1,0,2,9,3,54,"687,33",1,0
14,1,0,2,9,3,174,"687,33",1,0
47,1,1,2,9,3,16,"687,33",0,0
53,1,0,3,13,1,7,"692,89",1,1
52,1,0,3,13,1,66,"692,89",2,0
14,1,0,3,13,1,186,"692,89",1,1
55,1,1,3,13,1,126,"692,89",0,0
53,1,0,3,13,0,19,"692,89",1,1
52,1,0,3,13,0,78,"692,89",2,0
55,1,0,3,13,0,138,"692,89",0,0
14,1,0,3,13,0,198,"692,89",1,1
60,2,0,3,6,3,30,"998,47",1,0
62,2,0,3,6,3,30,"998,47",0,0
35,2,0,3,6,3,42,"998,47",0,0
30,2,0,3,11,2,6,"352,05",1,0
50,2,0,3,11,2,6,"352,05",1,0
62,2,0,3,11,2,42,"352,05",1,0
35,2,0,3,11,2,54,"352,05",1,0
58,2,0,2,10,2,6,"696,96",1,1
50,2,0,2,10,2,18,"696,96",1,1
62,2,0,2,10,2,54,"696,96",2,0
35,2,0,2,10,2,66,"696,96",1,0
22,2,0,3,11,3,6,"553,21",1,0
58,2,0,3,11,3,18,"553,21",1,2
50,2,0,3,11,3,30,"553,21",1,2
35,2,0,3,11,3,78,"553,21",1,0
40,2,0,3,8,1,6,"438,91",1,0
58,2,0,3,8,1,30,"438,91",0,1
50,2,0,3,8,1,42,"438,91",1,1
22,2,1,3,10,1,23,"438,91",1,0
40,2,0,2,9,1,18,"662,68",1,0
58,2,0,2,9,1,42,"662,68",0,1
50,2,0,2,9,1,54,"662,68",1,1
38,2,0,3,7,3,6,"279,42",1,1
40,2,0,3,7,3,30,"279,42",1,1
58,2,0,3,7,3,54,"279,42",0,1
50,2,0,3,7,3,66,"279,42",2,1
46,2,0,3,10,3,6,"723,15",1,0
38,2,0,3,10,3,18,"723,15",1,1
40,2,0,3,10,3,42,"723,15",2,1
58,2,0,3,10,3,66,"723,15",1,1
50,2,0,3,10,3,78,"723,15",2,1
58,2,0,3,12,2,78,"458,48",0,1
50,2,0,3,12,2,90,"458,48",2,1
10,2,1,3,12,2,11,"458,48",1,1
46,2,1,3,12,2,23,"458,48",1,1
40,2,1,3,12,2,54,"458,48",3,1
38,2,1,3,13,2,28,"458,48",1,1
