Group,Birth,InfantsSurvived,AdultFemalesNum,Rainfall,GroupSize
1,2,2,2,"998,47",6
1,2,2,2,"352,05",8
1,2,2,2,"696,96",9
1,2,2,2,"553,21",9
1,2,0,3,"438,91",9
1,2,2,2,"279,42",7
1,2,2,2,"723,15",7
1,2,2,2,"458,48",9
1,2,2,3,"366,32",7
1,2,2,3,"1291,85",7
1,3,3,3,"687,33",8
1,1,1,3,"692,89",13
2,3,2,3,"998,47",5
2,2,2,3,"352,05",9
2,2,2,2,"696,96",10
2,3,2,3,"553,21",10
2,1,1,3,"438,91",8
2,1,1,2,"662,68",7
2,3,3,3,"279,42",7
2,3,2,3,"723,15",10
2,2,2,3,"458,48",12
2,3,3,3,"366,32",9
2,2,2,3,"1291,85",8
2,2,2,2,"687,33",10
2,3,1,3,"692,89",11
3,1,1,1,"998,47",6
3,2,2,2,"352,05",5
3,1,1,2,"696,96",7
3,2,2,2,"553,21",7
3,2,2,2,"438,91",7
3,1,1,2,"662,68",9
3,2,2,3,"279,42",8
3,2,2,3,"723,15",5
3,1,1,2,"458,48",7
3,3,1,3,"366,32",6
3,3,3,3,"1291,85",6
3,2,2,3,"687,33",8
3,2,2,2,"692,89",10
4,2,2,2,"553,21",7
4,1,0,3,"438,91",5
4,2,1,2,"662,68",4
4,2,1,2,"279,42",5
4,2,1,3,"723,15",6
4,2,2,2,"458,48",6
4,2,1,2,"366,32",6
4,2,2,2,"1291,85",5
4,2,2,2,"687,33",7
4,2,1,2,"692,89",9
